dateTime,value
2018-08-21,14034
2018-08-22,16559
2018-08-23,22208
2018-08-24,18663
2018-08-25,7846
2018-08-26,14397
2018-08-27,21075
2018-08-28,19530
2018-08-29,21047
2018-08-30,17274
2018-08-31,19242
2018-09-01,5940
2018-09-02,17011
2018-09-03,10237
2018-09-04,9276
2018-09-05,8403
2018-09-06,18104
2018-09-07,16268
2018-09-08,4071
2018-09-09,12806
2018-09-10,14875
2018-09-11,20477
2018-09-12,12695
2018-09-13,19384
2018-09-14,15379
2018-09-15,6898
2018-09-16,9641
2018-09-17,6640
2018-09-18,14657
2018-09-19,7671
2018-09-20,13040
2018-09-21,8165
2018-09-22,8450
2018-09-23,21530
2018-09-24,13762
2018-09-25,14013
2018-09-26,14681
2018-09-27,14591
2018-09-28,6943
2018-09-29,12811
2018-09-30,15338
2018-10-01,11511
2018-10-02,13743
2018-10-03,2993
2018-10-04,7561
2018-10-05,8483
2018-10-06,6349
2018-10-07,12718
2018-10-08,10761
2018-10-09,16617
2018-10-10,5615
2018-10-11,7261
2018-10-12,5792
2018-10-13,6199
2018-10-14,12378
2018-10-15,9377
2018-10-16,8525
2018-10-17,7181
2018-10-18,15572
2018-10-19,5558
2018-10-20,3320
2018-10-21,8984
2018-10-22,16675
2018-10-23,7810
2018-10-24,7500
2018-10-25,8594
2018-10-26,1456
2018-10-27,4829
2018-10-28,9464
2018-10-29,6845
2018-10-30,11319
2018-10-31,1151
2018-11-01,12566
2018-11-02,5334
2018-11-03,12580
2018-11-04,11506
2018-11-05,4734
2018-11-06,12310
2018-11-07,13468
2018-11-08,17553
2018-11-09,6985
2018-11-10,8688
2018-11-11,6313
2018-11-12,4643
2018-11-13,8638
2018-11-14,6204
2018-11-15,13437
2018-11-16,7132
2018-11-17,3529
2018-11-18,9694
2018-11-19,11356
2018-11-20,12536
2018-11-21,9762
2018-11-22,5829
2018-11-23,11482
2018-11-24,9421
2018-11-25,14685
2018-11-26,6794
2018-11-27,8537
2018-11-28,8119
2018-11-29,15844
2018-11-30,2816
2018-12-01,4525
2018-12-02,13262
2018-12-03,3038
2018-12-04,7864
2018-12-05,13642
